precinct,name,street,city,state,zip,geo_longitude,geo_latitude,geo_accuracy,notes
333,Canyon Creek Elementary School,10210 Ember Glen Drive,Austin,TX,78726,-97.824733,30.436492,house,""
334,Pickfair Community Center,10904 Pickfair Drive,Austin,TX,78750,-97.811033,30.439332,house,""
335,Canyon Vista Middle School,8455 Spicewood Springs Road,Austin,TX,78759,-97.784318,30.427546,house,""
336,Hallmark Baptist Church,9023 Old Lampasas Trail,Austin,TX,78750,-97.79884,30.42039,house,""
337,Lakewood Homeowners Association,7317 Lakewood Drive,Austin,TX,78750,-97.78888,30.37535,house,""
338,Travis County WCID #18,1502 San Juan Drive,Austin,TX,78733,-97.866114,30.339269,house,""
339,Western Hills Church of Christ,6211 Parkwood Drive,Austin,TX,78735,-97.855053,30.237204,house,""
340,Combined @ 332 Zilker Elementary School,1900 Bluebonnet Lane,Austin,TX,78704,-97.774673,30.252849,house,""
341,Combined @ 332 Zilker Elementary School,1900 Bluebonnet Lane,Austin,TX,78704,-97.774673,30.252849,house,""
342,Barton Hills Elementary School,2108 Barton Hills Drive,Austin,TX,78704,-97.782955,30.254072,house,""
343,Church at Canyon Creek,9001 FM 620 North,Austin,TX,78726,-97.840891,30.429286,house,""
344,Cunningham Elementary School,2200 Berkeley Avenue,Austin,TX,78745,-97.805808,30.210672,house,""
345,Great Hills Baptist Church,10500 Jollyville Road,Austin,TX,78759,-97.750189,30.39841,house,"Combined precincts 305, 323, 345"
346,Serene Hills Elementary School,3301 Serene Hills Drive,Austin,TX,78738,-97.99678,30.34827,house,""
347,Hill Country Middle School,1300 Walsh Tarlton Lane,Austin,TX,78746,-97.8037,30.2708,house,""
349,ACC Pinnacle Campus,7748 Highway 290 West,Austin,TX,78736,-97.882025,30.23002,house,""
350,Cowan Elementary School,2817 Kentish Drive,Austin,TX,78748,-97.833724,30.188686,house,""
351,Randalls South Mopac,6600 South Mopac Expressway,Austin,TX,78749,-97.836277,30.22278,house,""
352,Covington Middle School,3700 Convict Hill Road,Austin,TX,78749,-97.834218,30.211451,house,"Combined precincts 352, 358"
354,Travis Country Office (H.O.A.),4504 Travis Country Circle,Austin,TX,78735,-97.827448,30.245949,house,""
356,Rollingwood Municipal Building,403 Nixon Drive,Rollingwood,TX,78746,-97.788416,30.275811,house,"Combined precincts 307, 356"
357,Laura's Library,9411 Bee Cave Road,Austin,TX,78733,-97.87179,30.315099,house,"Combined precincts 330, 357"
358,Covington Middle School,3700 Convict Hill Road,Austin,TX,78749,-97.834218,30.211451,house,"Combined precincts 352, 358"
359,LTISD Educational Development Ctr,607 RR 620 North (Enter off of Kollmeyer Dr),Austin,TX,78734,-97.946591,30.370589,house,""
360,Bowie High School,4103 West Slaughter Lane,Austin,TX,78749,-97.8585,30.18757,house,""
361,Oak Hill Fire Dept. Station #301,9211 Circle Drive,Austin,TX,78736,-97.919694,30.239456,house,""
362,Will Hampton Branch Public Library,5125 Convict Hill Road,Austin,TX,78749,-97.85509,30.21765,house,""
363,Shepherd of the Hills Presbyterian Church,5226 West William Cannon Drive,Austin,TX,78749,-97.851405,30.225153,house,""
364,Randalls Flagship at West Lake Hills,3300 Bee Caves Road,Austin,TX,78746,-97.798812,30.275376,house,""
365,West Rural Community Center,8656 Highway 71 West,Austin,TX,78735,-97.894535,30.249911,house,""
366,Mills Elementary School,6201 Davis Lane,Austin,TX,78749,-97.87819,30.21111,house,""
