id,source_id,county_name,county_fips,LocationName,address_line1,location_detail ,city,state,state_fips,zip5,Zip4,Latitude,Longitude,Schedule,exceptions,Notes,Source,date_acquired,county_wide,van_precinct_ids
101,101,Travis,453,Oak Hill Fire Dept. Barton Creek Station #302,4111 Barton Creek Blvd.,,Austin,TX,48,78735,,30.279239,-97.883794,Street,4.85E+14,,,2/27/2016,Yes,
102,102,Travis,453,Villages Amenities Center,12006 Gatling Gun Ln.,,Austin,TX,48,78748,,30.153801,-97.853979,Street,4.85E+14,,,2/27/2016,Yes,
103,103,Travis,453,Travis County Parks Office,14624 Hamilton Pool Rd.,,Austin,TX,48,78738,,30.307361,-97.975627,Street,4.85E+14,,,2/27/2016,Yes,
104,104,Travis,453,Lost Creek MUD Office,1305 Quaker Ridge Dr.,,Austin,TX,48,78746,,30.284086,-97.833401,Street,4.85E+14,,,2/27/2016,Yes,
105,105,Travis,453,Austin Ridge Bible Church,9300 Bee Cave Rd.,,Austin,TX,48,78733,,30.317755,-97.868546,Street,4.85E+14,,,2/27/2016,Yes,
106,106,Travis,453,Lakeway Activity Center,105 Cross Creek,,Austin,TX,48,78734,,30.363152,-97.979453,Street,4.85E+14,,,2/27/2016,Yes,
107,107,Travis,453,Randalls Lakeway,2301 RR 620 South,,Austin,TX,48,78759,,30.341962,-97.967648,Street,4.85E+14,,,2/27/2016,Yes,
108,108,Travis,453,Great Hills Baptist Church,10500 Jollyville Rd.,,Austin,TX,48,78759,,30.399421,-97.749561,Street,4.85E+14,,,2/27/2016,Yes,
109,109,Travis,453,Bee Cave City Hall,4000 Galleria Pkwy.,,Bee Cave,TX,48,78738,,30.308923,-97.940181,Street,4.85E+14,,,2/27/2016,Yes,
110,110,Travis,453,Austin City Hall,301 West 2nd St.,,Austin,TX,48,78701,,30.264848,-97.746631,Street,4.85E+14,,,2/27/2016,Yes,
111,111,Travis,453,Laurel Mountain Elementary,10111 DK Ranch Rd.,,Austin,TX,48,78759,,30.414439,-97.781735,Street,4.85E+14,,,2/27/2016,Yes,
112,112,Travis,453,Fire Station # 33,9409 Bluegrass Dr.,,Austin,TX,48,78759,,30.399093,-97.767503,Street,4.85E+14,,,2/27/2016,Yes,
113,113,Travis,453,Renaissance Retirement Center,11279 Taylor Draper Ln.,,Austin,TX,48,78759,,30.411705,-97.75318,Street,4.85E+14,,,2/27/2016,Yes,
114,114,Travis,453,Laura's Library,9411 Bee Cave Rd.,,Austin,TX,48,78733,,30.316143,-97.873108,Street,4.85E+14,,,2/27/2016,Yes,
115,115,Travis,453,Kathy Caraway Elementary School,11104 Oak View Dr.,,Austin,TX,48,78759,,30.420022,-97.767596,Street,4.85E+14,,,2/27/2016,Yes,
116,116,Travis,453,Zilker Elementary School,1900 Bluebonnet Ln.,,Austin,TX,48,78704,,30.252706,-97.773592,Street,4.85E+14,,,2/27/2016,Yes,
117,117,Travis,453,Canyon Creek Elementary School,10210 Ember Glen Drive,,Austin,TX,48,78726,,30.436404,-97.824742,Street,4.85E+14,,,2/27/2016,Yes,
118,118,Travis,453,Celebration Church - Anderson Mill,10401 Anderson Mill Rd.,,Austin,TX,48,78750,,30.447003,-97.805652,Street,4.85E+14,,,2/27/2016,Yes,
119,119,Travis,453,Canyon Vista Middle School,8455 Spicewood Springs Rd.,,Austin,TX,48,78759,,30.427633,-97.784239,Street,4.85E+14,,,2/27/2016,Yes,
120,120,Travis,453,Hallmark Baptist Church,9023 Old Lampasas Tr.,,Austin,TX,48,78750,,30.420323,-97.798837,Street,4.85E+14,,,2/27/2016,Yes,
121,121,Travis,453,Lakewood Homeowner's Association,7317 Lakewood Dr.,,Austin,TX,48,78750,,30.375046,-97.789103,Street,4.85E+14,,,2/27/2016,Yes,
122,122,Travis,453,Travis County WCID #18,1502 San Juan Dr.,,Austin,TX,48,78733,,30.338709,-97.866818,Street,4.85E+14,,,2/27/2016,Yes,
123,123,Travis,453,Western Hills Church of Christ,6211 Parkwood Dr.,,Austin,TX,48,78735,,30.236827,-97.855406,Street,4.85E+14,,,2/27/2016,Yes,
124,124,Travis,453,Barton Hills Elementary School,2108 Barton Hills Dr.,,Austin,TX,48,78704,,30.254157,-97.782912,Street,4.85E+14,,,2/27/2016,Yes,
125,125,Travis,453,Cunningham Elem. School,2200 Berkeley Ave.,,Austin,TX,48,78745,,30.209677,-97.806169,Street,4.85E+14,,,2/27/2016,Yes,
126,126,Travis,453,Serene Hills Elem. School,3301 Serene Hills Dr.,,Austin,TX,48,78738,,30.34359,-97.997836,Street,4.85E+14,,,2/27/2016,Yes,
127,127,Travis,453,Hill Country Middle School,1300 Walsh Tarlton Ln.,,Austin,TX,48,78746,,30.271749,-97.802326,Street,4.85E+14,,,2/27/2016,Yes,
128,128,Travis,453,ACC Pinnacle Campus,7748 Highway 290 West,,Austin,TX,48,78749,,30.229671,-97.881909,Street,4.85E+14,,,2/27/2016,Yes,
129,129,Travis,453,Cowan Elem. School,2817 Kentish Dr.,,Austin,TX,48,78748,,30.18863,-97.831372,Street,4.85E+14,,,2/27/2016,Yes,
130,130,Travis,453,Small Middle School,4801 Monterey Oaks Blvd.,,Austin,TX,48,78749,,30.234406,-97.840459,Street,4.85E+14,,,2/27/2016,Yes,
131,131,Travis,453,Covington Middle School,3700 Convict Hill Rd.,,Austin,TX,48,78749,,30.211623,-97.834759,Street,4.85E+14,,,2/27/2016,Yes,
132,132,Travis,453,LTISD Educational Development Center,607 RR 620 North,,Lakeway,TX,48,78734,,30.369499,-97.948761,Street,4.85E+14,,,2/27/2016,Yes,
133,133,Travis,453,Bowie High School,4103 West Slaughter Ln.,,Austin,TX,48,78749,,30.188679,-97.856814,Street,4.85E+14,,,2/27/2016,Yes,
134,134,Travis,453,Oak Hill Fire Dept. Station #301,9211 Circle Dr.,,Austin,TX,48,78736,,30.238955,-97.918769,Street,4.85E+14,,,2/27/2016,Yes,
135,135,Travis,453,Will Hampton Branch Public Library,5125 Convict Hill Rd.,,Austin,TX,48,78749,,30.218672,-97.854398,Street,4.85E+14,,,2/27/2016,Yes,
136,136,Travis,453,Shepherd of the Hills Presbyterian Church,5226 W. William Cannon Dr.,,Austin,TX,48,78749,,30.224876,-97.853208,Street,4.85E+14,,,2/27/2016,Yes,
137,137,Travis,453,Randalls Flagship West Lake Hills,3300 Bee Cave Rd.,,Austin,TX,48,78746,,30.275131,-97.801168,Street,4.85E+14,,,2/27/2016,Yes,
138,138,Travis,453,Community Center at Oak Hill,8656 Highway 71 West,,Austin,TX,48,78735,,30.250037,-97.894176,Street,4.85E+14,,,2/27/2016,Yes,
139,139,Travis,453,Mills Elementary School,6201 Davis Ln.,,Austin,TX,48,78749,,30.211575,-97.877325,Street,4.85E+14,,,2/27/2016,Yes,
