addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
9211 Circle Dr.,,Austin,TX,78736,135,30.238955,-97.918769,Street,4.8453E+14
5125 Convict Hill Rd.,,Austin,TX,78749,136,30.218672,-97.854398,Street,4.8453E+14
5226 W. William Cannon Dr.,,Austin,TX,78749,137,30.224876,-97.853208,Street,4.8453E+14
3300 Bee Cave Rd.,,Austin,TX,78746,138,30.275131,-97.801168,Street,4.8453E+14
8656 Highway 71 West,,Austin,TX,78735,139,30.250037,-97.894176,Street,4.8453E+14
6201 Davis Ln.,,Austin,TX,78749,140,30.211575,-97.877325,Street,4.8453E+14
7525 LaCrosse Ave.,,Austin,TX,78739,141,30.196015,-97.906028,Street,4.8453E+14
3520 West Whitestone Blvd.,,Cedar Park,TX,78613,142,30.536717,-97.77748,Street,4.8491E+14
14340 Round Mountain Rd.,,Leander,TX,78641,143,30.572717,-97.949351,Street,4.8453E+14
8039 Bar-K Ranch Rd.,,Lago Vista,TX,78645,144,30.481088,-97.977588,Street,4.8453E+14
"18649 FM 1431, Suite 6A",,Jonestown,TX,78645,145,30.492406,-97.923566,Street,4.8453E+14
5803 Thunderbird St.,,Lago Vista,TX,78645,146,30.453819,-97.986968,Street,4.8453E+14
2420 Zeppelin Dr.,,Cedar Park,TX,78613,147,30.483463,-97.853221,Street,4.8453E+14
15406 FM 2769,,Volente,TX,78641,148,30.435609,-97.904141,Street,4.8453E+14
5301 Ross Rd.,,Del Valle,TX,78617,149,30.178109,-97.615233,Street,4.8453E+14
13512 FM 812,,Del Valle,TX,78617,150,30.124568,-97.639672,Street,4.8453E+14
5604 FM 1327,,Austin,TX,78747,151,30.088886,-97.72242,Street,4.8453E+14
8601 Vertex Blvd.,,Austin,TX,78747,152,30.156193,-97.752773,Street,4.8453E+14
4900 McKinney Falls Pkwy,,Austin,TX,78744,153,30.189835,-97.711683,Street,4.8453E+14
11819 IH-35 South,,Austin,TX,78747,154,30.129874,-97.79939,Street,4.8453E+14
3518 South FM 973,,Del Valle,TX,78617,155,30.198186,-97.642551,Street,4.8453E+14
"8900 Manchaca Rd.
",,Austin,TX,78748,156,30.183038,-97.818318,Street,4.8453E+14
3800 South 2nd St.,,Austin,TX,78704,157,30.228689,-97.771459,Street,4.8453E+14
305 North Bluff Dr.,,Austin,TX,78745,158,30.197331,-97.77477,Street,4.8453E+14
10701 South 1st St.,,Austin,TX,78748,159,30.15083,-97.801907,Street,4.8453E+14
2025 West Ben White Blvd.,,Austin,TX,78704,160,30.230087,-97.789789,Street,4.8453E+14
2206 Blue Meadow Dr.,,Austin,TX,78744,161,30.181589,-97.763857,Street,4.8453E+14
9910 Bilbrook Place,,Austin,TX,78748,162,30.168671,-97.817186,Street,4.8453E+14
9400 Texas Oaks Dr.,,Austin,TX,78748,163,30.174723,-97.814599,Street,4.8453E+14
10701 South 1st St.,,Austin,TX,78748,164,30.15083,-97.801907,Street,4.8453E+14
1010 Turtle Creek Blvd.,,Austin,TX,78745,165,30.205356,-97.789563,Street,4.8453E+14
2105 Parker Ln.,,Austin,TX,78741,166,30.233749,-97.735833,Street,4.8453E+14
1511 South Congress Ave.,,Austin,TX,78704,167,30.248769,-97.749798,Street,4.8453E+14
201 East Mary St.,,Austin,TX,78704,168,30.244728,-97.750183,Street,4.8453E+14
1200 Montopolis Dr.,,Austin,TX,78741,169,30.232363,-97.698894,Street,4.8453E+14
1100 Cumberland Rd.,,Austin,TX,78704,170,30.241026,-97.768519,Street,4.8453E+14
600 West St. Elmo Rd.,,Austin,TX,78745,171,30.221174,-97.772842,Street,4.8453E+14
3601 Govalle Ave.,,Austin,TX,78702,172,30.264711,-97.698894,Street,4.8453E+14
73 San Marcos St.,,Austin,TX,78702,173,30.258126,-97.735574,Street,4.8453E+14
1600 Grove Blvd.,,Austin,TX,78741,174,30.229991,-97.706487,Street,4.8453E+14
4001 South Lamar Blvd.,,Austin,TX,78704,175,30.235311,-97.793501,Street,4.8453E+14
2101 Faro Dr.,,Austin,TX,78741,176,30.227136,-97.71393,Street,4.8453E+14
1211 East Oltorf St.,,Austin,TX,78704,177,30.234747,-97.744149,Street,4.8453E+14
8900 Manchaca Rd.,,Austin,TX,78748,178,30.183038,-97.818318,Street,4.8453E+14
1800 South 5th St.,,Austin,TX,78704,179,30.249314,-97.761624,Street,4.8453E+14
2100 East 3rd St.,,Austin,TX,78702,180,30.258001,-97.720842,Street,4.8453E+14
2000 Woodward St.,,Austin,TX,78741,181,30.217423,-97.743745,Street,4.8453E+14
409 West Ben White Blvd.,,Austin,TX,78704,182,30.225007,-97.768127,Street,4.8453E+14
5803 Nuckols Crossing Rd.,,Austin,TX,78744,183,30.187318,-97.742413,Street,4.8453E+14
1010 Turtle Creek Blvd.,,Austin,TX,78745,184,30.205356,-97.789563,Street,4.8453E+14
2206 Blue Meadow Dr.,,Austin,TX,78744,185,30.181589,-97.763857,Street,4.8453E+14
6800 Bill Hughes Rd.,,Austin,TX,78745,186,30.194855,-97.785723,Street,4.8453E+14
5409 Ponciana Dr.,,Austin,TX,78744,187,30.19848,-97.755127,Street,4.8453E+14
2025 West Ben White Blvd.,,Austin,TX,78704,188,30.230087,-97.789789,Street,4.8453E+14
1820 West Stassney Ln.,,Austin,TX,78745,189,30.214814,-97.795952,Street,4.8453E+14
4001 South Lamar Blvd.,,Austin,TX,78704,190,30.235311,-97.793501,Street,4.8453E+14
500 Mairo St.,,Austin,TX,78748,191,30.180567,-97.790975,Street,4.8453E+14
11500 El Salido Parkway Austin,,Austin,TX,,192,30.4562,-97.82024,Zip9,4.8491E+14
